Kode,Nama Bahan,description
AR011,Beras parboiled," termasuk dalam kategori Serealia. Bahan ini per 100 gram-nya memiliki 353 kalori, 6.8 gram protein, 0.6 gram lemak, 80.0 gram karbohidrat, dan 0.5 gram serat."
AR017,"Jagung pipil varietas,harapan, kering"," termasuk dalam kategori Serealia. Bahan ini per 100 gram-nya memiliki 367 kalori, 6.2 gram protein, 5.1 gram lemak, 76.2 gram karbohidrat, dan 2.6 gram serat."
AR018,"Jagung pipil varietas,metro, kering"," termasuk dalam kategori Serealia. Bahan ini per 100 gram-nya memiliki 368 kalori, 5.5 gram protein, 4.6 gram lemak, 78.0 gram karbohidrat, dan 2.9 gram serat."
AP001,Nasi," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 180 kalori, 3.0 gram protein, 0.3 gram lemak, 39.8 gram karbohidrat, dan 0.2 gram serat."
AP002,Nasi tim," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 120 kalori, 2.4 gram protein, 0.4 gram lemak, 26.0 gram karbohidrat, dan 0.5 gram serat."
AP003,"Beras, tapai"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 99 kalori, 1.7 gram protein, 0.3 gram lemak, 22.4 gram karbohidrat, dan 0.0 gram serat."
AP005,"Beras merah, Nasi"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 149 kalori, 2.8 gram protein, 0.4 gram lemak, 32.5 gram karbohidrat, dan 0.3 gram serat."
AP007,Bihun goreng instan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 381 kalori, 6.1 gram protein, 3.9 gram lemak, 80.3 gram karbohidrat, dan 0.0 gram serat."
AP010,"Jagung muda, rebus"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 142 kalori, 5.0 gram protein, 0.7 gram lemak, 30.3 gram karbohidrat, dan 0.8 gram serat."
AP011,"Jagung kuning, tepung"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 355 kalori, 9.2 gram protein, 3.9 gram lemak, 73.7 gram karbohidrat, dan 7.2 gram serat."
AP012,"Jagung kuning pipil,rebus"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 154 kalori, 3.8 gram protein, 3.5 gram lemak, 28.4 gram karbohidrat, dan 0.7 gram serat."
AP013,"Jagung, tepung putih"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 355 kalori, 9.2 gram protein, 3.9 gram lemak, 73.7 gram karbohidrat, dan 7.2 gram serat."
AP014,"Ketan, ketupat"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 212 kalori, 4.0 gram protein, 4.6 gram lemak, 38.6 gram karbohidrat, dan 0.2 gram serat."
AP015,"Ketan hitam, matang"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 181 kalori, 4.0 gram protein, 1.2 gram lemak, 37.3 gram karbohidrat, dan 0.3 gram serat."
AP016,"Ketan hitam, tapai"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 166 kalori, 3.8 gram protein, 1.0 gram lemak, 34.4 gram karbohidrat, dan 0.3 gram serat."
AP017,"Ketan putih, matang"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 163 kalori, 3.0 gram protein, 0.4 gram lemak, 35.7 gram karbohidrat, dan 0.2 gram serat."
AP018,"Ketan putih, tapai"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 172 kalori, 3.0 gram protein, 0.5 gram lemak, 37.5 gram karbohidrat, dan 0.6 gram serat."
AP019,"Maizena, tepung"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 341 kalori, 0.3 gram protein, 0.0 gram lemak, 85.0 gram karbohidrat, dan 7.0 gram serat."
AP021,Mi basah," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 88 kalori, 0.6 gram protein, 3.3 gram lemak, 14.0 gram karbohidrat, dan 0.1 gram serat."
AP022,Mi kering," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 339 kalori, 10.0 gram protein, 1.7 gram lemak, 6.3 gram karbohidrat, dan 0.4 gram serat."
AP023,Misoa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 345 kalori, 8.5 gram protein, 2.2 gram lemak, 78.0 gram karbohidrat, dan 0.5 gram serat."
AP024,Roti putih," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 248 kalori, 8.0 gram protein, 1.2 gram lemak, 50.0 gram karbohidrat, dan 9.1 gram serat."
AP025,Tepung terigu," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 333 kalori, 9.0 gram protein, 1.0 gram lemak, 77.2 gram karbohidrat, dan 0.3 gram serat."
AP026,Amparan tatak," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 191 kalori, 1.3 gram protein, 5.5 gram lemak, 34.0 gram karbohidrat, dan 0.0 gram serat."
AP027,"Apang kukus, kue"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 202 kalori, 3.0 gram protein, 0.3 gram lemak, 46.7 gram karbohidrat, dan 0.0 gram serat."
AP028,"Apem, kue"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 148 kalori, 2.0 gram protein, 0.5 gram lemak, 33.9 gram karbohidrat, dan 0.0 gram serat."
AP029,Biskuit," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 458 kalori, 6.9 gram protein, 14.4 gram lemak, 75.1 gram karbohidrat, dan 2.1 gram serat."
AP030,"Bakpia, kue"," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 272 kalori, 8.7 gram protein, 6.7 gram lemak, 44.1 gram karbohidrat, dan 0.9 gram serat."
AP031,Bakwan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 280 kalori, 8.2 gram protein, 10.2 gram lemak, 39.0 gram karbohidrat, dan 3.4 gram serat."
AP032,Bantal," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 190 kalori, 3.3 gram protein, 0.3 gram lemak, 43.5 gram karbohidrat, dan 3.4 gram serat."
AP033,Baruasa," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 417 kalori, 6.5 gram protein, 8.2 gram lemak, 79.3 gram karbohidrat, dan 0.0 gram serat."
AP034,Batar daan," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 107 kalori, 2.2 gram protein, 2.2 gram lemak, 19.6 gram karbohidrat, dan 0.0 gram serat."
AP035,Bika ambon," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 199 kalori, 2.1 gram protein, 1.5 gram lemak, 44.4 gram karbohidrat, dan 0.3 gram serat."
AP036,Bingka," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 273 kalori, 5.3 gram protein, 10.6 gram lemak, 39.1 gram karbohidrat, dan 0.0 gram serat."
AP037,Bobengka," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 225 kalori, 5.3 gram protein, 2.6 gram lemak, 45.2 gram karbohidrat, dan 0.0 gram serat."
AP038,Bolu peca," termasuk dalam kategori Olahan Serealia. Bahan ini per 100 gram-nya memiliki 197 kalori, 3.3 gram protein, 4.6 gram lemak, 35.6 gram karbohidrat, dan 0.0 gram serat."
